timestamp,fps,tracked_objects,top_threat,threat_score,distance_cm,velocity_cm_s,velocity_valid,threat_level,clusters,user_moving,position,bbox_cx_norm,ego_z_cm_s,ego_confident,all_tracks
2026-05-21T17:35:17.988130+00:00,6.3,2,keyboard,6.5,62,6.9,True,SAFE,1,True,ahead,0.52,0.0,True,tv:73cm:on your left|keyboard:62cm:ahead
2026-05-21T17:35:20.771207+00:00,12.8,3,person,147.0,20,0.0,True,CRITICAL,1,True,on your left,0.104,0.0,False,tv:29cm:ahead|keyboard:15cm:ahead
2026-05-21T17:35:24.072755+00:00,8.2,3,keyboard,69.0,31,0.0,True,WARNING,1,True,on your left,0.171,-19.1,True,keyboard:31cm:on your left|tv:48cm:on your right
2026-05-21T17:35:27.740040+00:00,8.6,5,person,2.1,257,0.0,True,SAFE,1,False,on your right,0.88,0.0,False,person:307cm:on your left
2026-05-21T17:35:30.921565+00:00,9.3,6,person,7.2,170,0.0,True,SAFE,1,False,on your right,0.805,0.0,False,person:288cm:ahead|chair:287cm:ahead|person:170cm:on your right
2026-05-21T17:35:34.522778+00:00,4.9,5,keyboard,74.8,32,0.0,True,WARNING,1,False,on your left,0.23,0.0,True,keyboard:33cm:on your left|laptop:50cm:on your right|person:159cm:on your right|keyboard:32cm:on your left
2026-05-21T17:35:37.986609+00:00,12.3,3,keyboard,14.7,33,20.1,True,CAUTION,1,False,on your left,0.227,-20.6,True,laptop:51cm:on your right|keyboard:33cm:on your left
2026-05-21T17:35:41.653278+00:00,7.6,4,person,600.0,27,-241.8,True,CRITICAL,1,False,on your right,0.874,0.0,False,laptop:32cm:on your right|keyboard:105cm:on your left|person:27cm:on your right|tv:28cm:on your right
2026-05-21T17:35:45.623005+00:00,12.3,3,person,80.3,58,0.0,True,CRITICAL,1,True,on your left,0.126,0.0,False,person:137cm:ahead|person:58cm:on your left|person:83cm:on your right
2026-05-21T17:35:48.426176+00:00,13.0,1,person,0.0,396,0.0,True,SAFE,1,True,on your right,0.818,0.0,False,
2026-05-21T17:35:51.564773+00:00,8.9,3,chair,165.1,180,-20.2,True,CRITICAL,1,True,on your left,0.155,-104.9,True,tv:254cm:on your right
2026-05-21T17:35:54.502049+00:00,11.9,3,laptop,1.1,267,0.0,True,SAFE,1,True,on your left,0.151,0.0,False,
2026-05-21T17:35:57.031066+00:00,12.0,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:35:59.269577+00:00,12.8,2,refrigerator,0.0,386,0.0,True,SAFE,1,True,ahead,0.579,0.0,False,
2026-05-21T17:36:02.034360+00:00,10.0,6,person,0.0,623,0.0,True,SAFE,0,True,on your left,0.063,0.0,False,person:623cm:on your left
2026-05-21T17:36:04.370256+00:00,11.5,3,person,0.0,620,0.0,True,SAFE,0,True,ahead,0.516,0.0,False,person:620cm:ahead|person:690cm:ahead
2026-05-21T17:36:06.938000+00:00,11.6,1,person,0.0,398,0.0,True,SAFE,1,True,on your right,0.718,0.0,False,person:398cm:on your right
2026-05-21T17:36:09.444038+00:00,15.0,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:11.644959+00:00,13.3,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:13.745073+00:00,13.4,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:15.749362+00:00,17.4,1,person,127.5,15,0.0,False,CRITICAL,0,True,ahead,0.498,0.0,False,
2026-05-21T17:36:17.915259+00:00,13.4,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:20.118651+00:00,13.3,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:22.254810+00:00,14.6,1,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.52,0.0,False,
2026-05-21T17:36:24.550798+00:00,15.0,2,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.491,0.0,False,
2026-05-21T17:36:27.022230+00:00,11.9,4,person,6.3,186,0.0,True,SAFE,1,True,on your left,0.061,0.0,False,person:772cm:on your left|person:186cm:on your left
2026-05-21T17:36:29.757688+00:00,14.4,1,person,0.0,582,0.0,True,SAFE,0,True,on your left,0.044,0.0,False,
2026-05-21T17:36:32.494015+00:00,11.5,3,person,0.0,664,0.0,True,SAFE,1,True,ahead,0.527,0.0,False,person:538cm:ahead
2026-05-21T17:36:35.293956+00:00,10.0,1,person,0.0,435,0.0,True,SAFE,2,True,on your right,0.938,0.0,False,person:435cm:on your right
2026-05-21T17:36:37.596209+00:00,14.2,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:39.693225+00:00,14.2,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:42.200926+00:00,13.3,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:44.599928+00:00,11.6,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:46.805075+00:00,14.8,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:48.938784+00:00,14.8,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:51.039912+00:00,14.5,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:36:53.207013+00:00,15.0,3,person,0.0,-1,0.0,True,SAFE,0,True,on your left,0.233,0.0,False,
2026-05-21T17:36:55.709340+00:00,11.2,4,person,0.0,767,0.0,True,SAFE,0,True,on your left,0.136,0.0,False,person:767cm:on your left|person:722cm:on your left
2026-05-21T17:36:57.943302+00:00,15.0,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:00.042272+00:00,12.2,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:02.243639+00:00,12.8,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:04.415396+00:00,14.1,1,person,109.5,27,0.0,True,CRITICAL,1,True,ahead,0.396,0.0,False,
2026-05-21T17:37:06.505952+00:00,15.2,1,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.516,0.0,False,
2026-05-21T17:37:08.781638+00:00,12.6,1,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.37,0.0,False,
2026-05-21T17:37:10.850394+00:00,15.0,4,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.438,0.0,False,
2026-05-21T17:37:13.021884+00:00,13.0,6,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.434,0.0,False,
2026-05-21T17:37:15.816166+00:00,10.2,2,person,600.0,177,-159.8,True,CRITICAL,1,True,on your left,0.037,-104.2,True,person:429cm:on your left|person:177cm:on your left
2026-05-21T17:37:18.125265+00:00,15.0,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:20.459494+00:00,13.9,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:22.794120+00:00,12.3,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:24.961206+00:00,14.9,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:26.961099+00:00,15.0,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:29.171501+00:00,14.5,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:31.399492+00:00,14.1,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:33.535215+00:00,14.5,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-21T17:37:35.637642+00:00,13.9,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
