timestamp,fps,tracked_objects,top_threat,threat_score,distance_cm,velocity_cm_s,velocity_valid,threat_level,clusters,user_moving,position,bbox_cx_norm,ego_z_cm_s,ego_confident,all_tracks
2026-05-29T17:45:48.604026+00:00,13.4,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-29T17:45:50.942447+00:00,15.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-29T17:45:53.341513+00:00,10.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-29T17:45:56.286342+00:00,8.7,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-29T17:46:00.148304+00:00,6.7,1,keyboard,30.3,59,0.0,True,CAUTION,1,False,ahead,0.555,1.2,True,
2026-05-29T17:46:03.494255+00:00,9.1,1,keyboard,30.7,58,0.0,True,CAUTION,1,False,ahead,0.608,0.0,True,keyboard:58cm:ahead
2026-05-29T17:46:08.150595+00:00,4.3,0,,0,-1,0,True,NONE,0,False,,-1,-5.0,True,
2026-05-29T17:46:10.732200+00:00,8.5,0,,0,-1,0,True,NONE,0,False,,-1,0.0,True,
2026-05-29T17:46:14.200522+00:00,9.1,0,,0,-1,0,True,NONE,0,False,,-1,0.0,True,
2026-05-29T17:46:17.692054+00:00,9.3,0,,0,-1,0,True,NONE,0,False,,-1,0.0,True,
2026-05-29T17:46:21.159785+00:00,5.6,2,chair,57.6,28,0.0,True,WARNING,1,False,on your right,0.865,-2.9,True,
2026-05-29T17:46:24.532465+00:00,4.7,1,person,110.6,33,0.0,True,CRITICAL,1,False,on your left,0.155,1.9,True,person:33cm:on your left
2026-05-29T17:46:29.234888+00:00,5.8,3,keyboard,24.0,78,0.0,True,CAUTION,1,False,on your right,0.686,0.0,False,keyboard:94cm:on your right
2026-05-29T17:46:34.307508+00:00,6.0,6,person,88.5,41,0.0,True,CRITICAL,1,False,on your left,0.16,21.3,True,
2026-05-29T17:46:40.641867+00:00,4.3,4,person,216.4,37,-8.1,True,CRITICAL,1,False,on your left,0.17,5.6,True,tv:87cm:ahead|keyboard:57cm:ahead|person:37cm:on your left|mouse:72cm:on your right
2026-05-29T17:46:46.252637+00:00,5.0,4,person,108.9,34,0.0,True,CRITICAL,1,False,on your left,0.183,0.0,True,tv:85cm:ahead|keyboard:57cm:ahead|person:34cm:on your left|mouse:69cm:on your right
2026-05-29T17:46:51.887854+00:00,5.5,3,person,112.2,32,0.0,True,CRITICAL,1,False,on your left,0.213,0.0,True,person:32cm:on your left|tv:83cm:ahead|keyboard:55cm:ahead
2026-05-29T17:46:56.601994+00:00,9.8,0,,0,-1,0,True,NONE,0,False,,-1,0.9,True,
2026-05-29T17:47:00.096922+00:00,8.2,0,,0,-1,0,True,NONE,0,True,,-1,0.7,True,
2026-05-29T17:47:03.263138+00:00,8.0,1,mouse,29.7,61,0.0,True,CAUTION,1,False,on your left,0.08,0.0,True,
2026-05-29T17:47:08.163200+00:00,9.2,1,mouse,31.3,56,0.0,True,CAUTION,1,False,on your left,0.031,2.5,True,
2026-05-29T17:47:11.932842+00:00,9.4,0,,0,-1,0,True,NONE,0,False,,-1,0.9,True,
2026-05-29T17:47:15.672805+00:00,5.8,1,mouse,30.7,58,0.0,True,CAUTION,1,False,on your left,0.044,0.0,True,mouse:58cm:on your left
