timestamp,fps,tracked_objects,top_threat,threat_score,distance_cm,velocity_cm_s,velocity_valid,threat_level,clusters,user_moving,position,bbox_cx_norm,ego_z_cm_s,ego_confident,all_tracks
2026-05-08T17:34:14.707413+00:00,4.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:34:22.214610+00:00,4.4,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:34:29.653058+00:00,4.6,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:34:36.415197+00:00,4.4,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:34:43.397123+00:00,4.8,1,keyboard,59.0,41,0.0,True,WARNING,1,False,ahead,0.509,0.0,False,
2026-05-08T17:34:55.721398+00:00,1.7,2,keyboard,35.6,53,0.0,True,CAUTION,1,False,on your right,0.736,0.0,False,
2026-05-08T17:35:07.018141+00:00,1.9,2,keyboard,35.2,54,0.0,True,CAUTION,1,False,on your right,0.7,26.7,True,
2026-05-08T17:35:19.820363+00:00,1.0,1,keyboard,35.6,53,0.0,True,CAUTION,1,False,on your right,0.685,0.0,False,
2026-05-08T17:35:31.230952+00:00,3.0,0,,0,-1,0,True,NONE,0,False,,-1,-83.5,True,
2026-05-08T17:35:43.807737+00:00,3.6,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:35:52.541166+00:00,3.5,3,person,0.0,749,0.0,True,SAFE,0,False,on your right,0.84,0.0,False,
2026-05-08T17:36:01.719796+00:00,3.1,3,person,0.0,-1,0.0,True,SAFE,0,False,ahead,0.491,0.0,False,
2026-05-08T17:36:11.463281+00:00,2.5,2,person,0.0,758,0.0,True,SAFE,1,False,on your right,0.636,0.0,False,person:758cm:on your right
2026-05-08T17:36:22.809743+00:00,1.6,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:36:30.729019+00:00,2.8,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:36:39.578437+00:00,2.8,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:36:47.338200+00:00,6.6,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:36:56.663941+00:00,2.8,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:37:06.568214+00:00,3.6,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:37:15.711949+00:00,3.5,1,person,0.0,714,0.0,True,SAFE,1,False,ahead,0.345,-1.5,True,
2026-05-08T17:37:24.717818+00:00,3.3,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:37:34.617994+00:00,3.6,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:37:42.660345+00:00,3.7,1,suitcase,76.0,24,0.0,True,WARNING,1,False,on your right,0.823,0.0,False,
2026-05-08T17:37:52.734375+00:00,2.6,1,suitcase,3.7,189,0.0,False,SAFE,1,False,on your right,0.873,0.0,False,
2026-05-08T17:38:01.343164+00:00,3.1,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:38:11.516226+00:00,3.0,1,chair,0.0,541,0.0,True,SAFE,0,False,ahead,0.609,0.0,False,
2026-05-08T17:38:22.407544+00:00,1.0,3,chair,1.0,267,0.0,True,SAFE,1,False,on your left,0.113,0.0,False,
2026-05-08T17:38:31.515793+00:00,4.2,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:38:41.091546+00:00,3.5,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:38:50.586511+00:00,2.6,2,person,120.0,20,0.0,True,CRITICAL,1,False,ahead,0.353,0.0,False,
2026-05-08T17:39:00.861669+00:00,4.0,2,remote,82.0,18,0.0,True,CRITICAL,1,False,ahead,0.495,0.0,False,
2026-05-08T17:39:10.593307+00:00,4.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:39:20.532469+00:00,4.4,1,person,4.0,114,74.5,True,SAFE,1,False,on your right,0.784,0.0,False,
2026-05-08T17:39:24.160632+00:00,13.7,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:39:30.845497+00:00,3.9,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:39:39.953677+00:00,2.5,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:39:48.978815+00:00,4.1,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:39:57.213490+00:00,4.7,0,,0,-1,0,True,NONE,0,False,,-1,40.4,True,
2026-05-08T17:40:01.753281+00:00,14.2,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:40:03.788827+00:00,15.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:40:06.093571+00:00,12.6,1,refrigerator,2.4,228,0.0,True,SAFE,1,False,on your right,0.732,0.0,False,
2026-05-08T17:40:08.086597+00:00,17.4,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-08T17:40:10.234158+00:00,14.0,2,chair,428.0,105,-60.0,True,CRITICAL,2,False,ahead,0.549,0.0,False,
2026-05-08T17:40:13.228107+00:00,10.0,2,laptop,5.0,135,0.0,True,SAFE,2,False,on your left,0.149,0.0,False,chair:285cm:ahead
2026-05-08T17:40:19.772189+00:00,9.9,4,chair,15.3,98,0.0,True,CAUTION,1,False,on your left,0.279,-1.0,True,chair:135cm:on your left|chair:98cm:on your left
2026-05-08T17:40:24.974932+00:00,3.4,1,chair,14.7,100,0.0,True,CAUTION,1,False,on your left,0.067,1.5,True,
2026-05-08T17:40:30.579963+00:00,6.3,2,person,3.5,230,0.0,True,SAFE,1,False,on your right,0.878,-3.2,True,person:230cm:on your right
2026-05-08T17:40:37.008786+00:00,11.4,2,person,2.1,258,0.0,True,SAFE,1,False,on your right,0.77,0.0,True,
2026-05-08T17:40:40.051475+00:00,10.0,3,person,0.4,258,32.1,True,SAFE,1,False,on your right,0.805,-3.9,True,person:258cm:on your right|chair:236cm:on your left
2026-05-08T17:40:46.292362+00:00,11.4,2,person,600.0,254,-59.1,True,CRITICAL,1,False,on your right,0.866,1.7,True,person:254cm:on your right
2026-05-08T17:40:51.457391+00:00,8.6,1,chair,454.1,106,-50.7,True,CRITICAL,1,False,on your left,0.107,4.8,True,chair:106cm:on your left
2026-05-08T17:40:56.993840+00:00,4.9,1,person,1.6,268,0.0,True,SAFE,1,False,on your right,0.677,-2.8,True,person:268cm:on your right
2026-05-08T17:41:04.300995+00:00,5.2,1,person,0.9,281,0.0,True,SAFE,1,False,ahead,0.508,-6.1,True,
2026-05-08T17:41:06.933518+00:00,12.0,1,tv,16.7,100,0.0,True,CAUTION,1,False,on your left,0.157,0.0,True,
2026-05-08T17:41:09.505877+00:00,12.5,2,chair,13.3,100,0.0,True,CAUTION,1,False,on your left,0.087,-6.9,True,
2026-05-08T17:41:12.039886+00:00,13.3,0,,0,-1,0,True,NONE,0,False,,-1,0.0,True,
2026-05-08T17:41:14.341796+00:00,12.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,True,
2026-05-08T17:41:16.503937+00:00,12.5,0,,0,-1,0,True,NONE,0,False,,-1,0.0,True,
2026-05-08T17:41:18.843139+00:00,12.0,2,chair,10.4,111,0.0,True,CAUTION,1,False,on your left,0.073,0.0,True,
2026-05-08T17:41:21.611786+00:00,12.5,1,chair,10.4,111,0.0,True,CAUTION,1,False,on your left,0.087,0.0,True,
2026-05-08T17:41:24.382583+00:00,12.0,1,suitcase,1.0,269,0.0,True,SAFE,1,False,ahead,0.655,0.0,True,
2026-05-08T17:41:26.851760+00:00,12.0,2,person,2.0,260,0.0,True,SAFE,1,False,ahead,0.37,-54.2,True,
2026-05-08T17:41:33.663249+00:00,2.4,2,person,600.0,195,-38.6,True,CRITICAL,2,False,ahead,0.391,0.0,True,person:195cm:ahead
2026-05-08T17:41:39.634259+00:00,3.2,2,chair,19.7,76,0.0,True,CAUTION,1,False,on your right,0.735,-7.8,True,
2026-05-08T17:41:43.935952+00:00,5.4,3,person,512.0,265,-30.9,True,CRITICAL,1,False,ahead,0.513,0.0,True,person:265cm:ahead|chair:265cm:on your right
2026-05-08T17:41:50.532132+00:00,10.0,3,person,193.1,24,-5.3,True,CRITICAL,1,False,on your right,0.787,0.0,True,person:24cm:on your right
2026-05-08T17:41:55.896919+00:00,2.2,1,person,2.4,252,0.0,True,SAFE,1,False,ahead,0.65,0.0,True,
2026-05-08T17:42:03.193893+00:00,4.6,2,person,2.5,255,0.0,True,SAFE,2,False,ahead,0.608,-8.9,True,person:255cm:ahead|person:259cm:on your right
2026-05-08T17:42:07.012013+00:00,9.2,2,person,600.0,249,-39.5,True,CRITICAL,1,False,on your right,0.859,7.8,True,person:249cm:on your right|chair:218cm:on your left
2026-05-08T17:42:12.047881+00:00,10.9,1,person,2.4,252,0.0,True,SAFE,1,False,on your right,0.801,0.0,True,person:252cm:on your right
2026-05-08T17:42:14.749275+00:00,10.7,2,clock,2.7,219,0.0,True,SAFE,1,False,on your left,0.159,0.0,True,person:256cm:on your right
2026-05-08T17:42:17.654044+00:00,10.5,2,clock,2.9,212,0.0,True,SAFE,1,False,on your left,0.16,0.0,True,person:253cm:on your right
2026-05-08T17:42:20.419192+00:00,12.0,2,chair,2.1,223,0.0,True,SAFE,1,False,on your left,0.042,-5.4,True,
2026-05-08T17:42:23.023641+00:00,12.0,2,chair,73.0,80,-6.8,True,WARNING,1,False,on your left,0.237,-6.0,True,person:263cm:on your left|chair:80cm:on your left
