timestamp,fps,tracked_objects,top_threat,threat_score,distance_cm,velocity_cm_s,velocity_valid,threat_level,clusters,user_moving,position,bbox_cx_norm,ego_z_cm_s,ego_confident,all_tracks
2026-05-18T17:39:44.275723+00:00,14.3,1,toilet,0.0,375,0.0,True,SAFE,2,False,ahead,0.566,0.0,False,
2026-05-18T17:39:46.574823+00:00,15.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-18T17:39:48.881062+00:00,13.7,0,,0,-1,0,True,NONE,0,False,,-1,15.6,True,
2026-05-18T17:39:50.914080+00:00,15.0,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-18T17:39:53.219093+00:00,14.0,1,person,0.0,465,0.0,True,SAFE,1,False,ahead,0.53,0.0,False,
2026-05-18T17:39:55.748466+00:00,10.4,1,person,0.0,495,0.0,True,SAFE,1,False,ahead,0.531,18.9,True,person:495cm:ahead
2026-05-18T17:39:58.867015+00:00,10.2,1,person,0.0,479,0.0,True,SAFE,1,False,ahead,0.52,0.0,True,person:479cm:ahead
2026-05-18T17:40:09.523811+00:00,12.1,1,person,0.0,401,0.0,True,SAFE,1,False,on your left,0.095,0.0,False,person:401cm:on your left
2026-05-18T17:40:11.769234+00:00,13.9,1,person,0.0,445,0.0,True,SAFE,1,False,on your left,0.274,0.0,False,
2026-05-18T17:40:16.598759+00:00,12.9,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-18T17:40:19.034063+00:00,13.0,1,chair,1.6,240,0.0,True,SAFE,1,False,on your right,0.883,0.0,False,
2026-05-18T17:40:21.368108+00:00,12.1,1,person,0.0,455,23.0,True,SAFE,1,False,on your left,0.13,10.6,True,person:455cm:on your left
2026-05-18T17:40:24.068696+00:00,13.2,1,person,0.0,412,0.0,True,SAFE,1,False,on your left,0.147,0.0,False,
2026-05-18T17:40:26.705542+00:00,13.6,1,chair,0.5,280,0.0,True,SAFE,1,False,on your right,0.895,0.0,False,
2026-05-18T17:40:29.040180+00:00,14.4,0,,0,-1,0,True,NONE,0,False,,-1,51.2,True,
2026-05-18T17:40:31.808182+00:00,14.9,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
2026-05-18T17:40:34.078994+00:00,14.7,0,,0,-1,0,True,NONE,0,False,,-1,0.0,False,
